frame,t,cx,cy,geo_cx,geo_cy,peak_x,peak_y,area,eq_radius,sigma_x,sigma_y,sigma_maj,sigma_min,orientation_deg,ellipticity,radius_mean,radius_std,radius_min,radius_max,boundary_roughness,circularity,perimeter,halo_area,halo_radius,core_flux,peak_intensity
53,2.12,1315.6438701559707,629.8100248300293,1315.6439808210494,629.8105087969568,1325,492,50472.0,126.75068668637769,57.13264309960444,70.8149543071722,71.47111367062726,56.309649011105925,102.68109250094905,0.21213415995436347,125.73672346641975,11.121230462197762,105.37561277544464,143.00106211859065,2.644213243872608,0.8555670993374479,861.0,17437.0,143.36727802589462,12870303.0,255.0
54,2.16,1315.6800018355646,629.8393424478963,1315.6800872669576,629.8394486314954,1331,491,50420.0,126.68537587814438,57.12192036229266,70.76147351331807,71.42163158849529,56.29431997004113,102.73350964143452,0.21180294095788887,125.68377548010895,11.120059898254313,105.33902156229249,142.97784223512662,2.715746089596217,0.8667233081987475,855.0,17419.0,143.25021930611766,12857080.0,255.0
55,2.2,1315.7850364552673,629.7721931530517,1315.7851513647643,629.7722679900744,1331,490,50375.0,126.62882972099385,57.07902633141222,70.74367241042941,71.39557277046532,56.26148435504872,102.65039234707135,0.21197516636041636,125.61640371911994,11.108039371454106,105.23508688037961,143.0608281510319,2.6803639135633675,0.8679789277876028,854.0,17277.0,143.182501146604,12845606.0,255.0
56,2.24,1315.7401278311077,629.7639875271242,1315.7402947769335,629.7641586161751,1332,491,50411.0,126.67406866604969,57.081809754144594,70.78687710094675,71.43357224379989,56.27041612608457,102.58797501347433,0.21226932437263646,125.66431165298884,11.125167269240174,106.27993139367642,143.31278253928514,2.652899221794024,0.8851042998067115,846.0,17324.0,143.25309360480153,12854774.0,255.0
57,2.28,1315.7464039732342,629.786189144095,1315.7464288548529,629.7863066423299,1345,491,50404.0,126.66527346991276,57.094926397346065,70.76842178581524,71.43207844363705,56.262405846137575,102.75151751972984,0.21236498962394035,125.65381150660171,11.12000226261986,106.39087064495546,143.25270556817932,2.641393593963467,0.8725607579599504,852.0,17232.0,143.26915533201444,12853005.0,255.0
58,2.32,1315.7267620639855,629.8093453049567,1315.7268095398586,629.8096786344443,1324,492,50441.0,126.71175544911603,57.101048145726814,70.80826945026087,71.4592558900361,56.284238197951105,102.6254789323079,0.21235902197801815,125.69351262891618,11.12839959868792,106.41163994323455,143.01488087613632,2.670322081775353,0.8793832141726926,849.0,17428.0,143.3495122670043,12862416.0,255.0
59,2.36,1315.835520319179,629.8004505745447,1315.835622138993,629.8008045498682,1332,491,50463.0,126.73938530106822,57.16617218501476,70.76257117020761,71.42037366174544,56.342195084342514,102.72906039957567,0.21111872991332703,125.72914865573681,11.074313853522773,106.30257942606497,143.04882948949964,2.6905886484794324,0.8339691002341013,872.0,17452.0,143.41350497484183,12868015.0,255.0
60,2.4,1315.7581874314517,629.9009376605636,1315.7586906027323,629.9018936262352,1332,491,50802.0,127.1643772363508,57.355854488068836,70.98551590758204,71.643141591656,56.532271983355116,102.71269338941136,0.21091857884217613,126.17534309408944,11.054928469992962,107.25955931211087,143.54582528357352,2.547477747278664,0.8919693844355508,846.0,17286.0,143.81314697748894,12954368.0,255.0
61,2.44,1315.7521600194027,629.8778521582606,1315.7526555983948,629.8784129357148,1332,491,50836.0,127.20692345167059,57.428534242211775,70.9514600616434,71.62963562767618,56.580398813849065,102.93607224949483,0.2100979110385479,126.2196156321648,11.019753049880467,107.26593232036483,143.54301444307117,2.5221977550044787,0.8738743771438227,855.0,17441.0,143.7340836816764,12963078.0,255.0
62,2.48,1315.7980288621968,629.8538451708721,1315.7984110440307,629.854398143596,1345,490,50851.0,127.22568931757431,57.426626690951636,70.96921041421707,71.6362993573148,56.59228652659755,102.83051872877142,0.2100054436882508,126.22779101776743,11.01680865967429,107.34138597461163,143.1961665887739,2.5429848971134055,0.8599928296450523,862.0,17383.0,143.75940532581376,12966927.0,255.0
63,2.52,1315.8623995415196,629.7634862259893,1315.8626544424333,629.763850633509,1331,490,50828.0,127.1969138578044,57.410072982094505,70.96786569427768,71.64756305539375,56.55953632442392,102.93561745517668,0.21058673997473776,126.20619410017538,11.046338734573816,107.27262786212283,143.3643638133583,2.5679049767109654,0.8656185558194993,859.0,17400.0,143.73711595370932,12961076.0,255.0
64,2.56,1315.849711825765,629.8109331843066,1315.8499685633449,629.8111835900661,1331,490,50896.0,127.28197031477086,57.45155890613032,71.01283714124028,71.69586560653721,56.596886085033276,102.96294889539,0.21059763200804726,126.28697013679955,11.053078039299274,107.16869975089018,143.58821485553042,2.5985615219358413,0.8852290640670234,850.0,17376.0,143.8462146215443,12978433.0,255.0
65,2.6,1315.864316066362,629.8000120372135,1315.8643724298054,629.8004840328198,1330,490,50823.0,127.1906574616186,57.38821978722256,70.98258012156984,71.64929587593241,56.553628102401525,102.80703726005952,0.21068829203388784,126.19921367290232,11.043145666718837,107.15391401612477,143.601761674367,2.603217558965275,0.8798142092254295,852.0,17237.0,143.81300070021408,12959810.0,255.0
66,2.64,1315.8525395891052,629.7526956201484,1315.852613555853,629.7528142958356,1331,490,50812.0,127.17689230662452,57.38496678792239,70.97803065358475,71.65412696595925,56.538494297764636,102.89023322545044,0.21095271561086215,126.18562533050665,11.072482166763844,107.16753702065992,143.48193067728775,2.616866340541502,0.8900396059386183,847.0,17267.0,143.79405924294855,12957037.0,255.0
67,2.68,1315.807061256824,629.8176445672345,1315.80710490061,629.8177720921078,1327,491,50810.0,127.17438939109717,57.380868515367894,70.98112376957887,71.66482523340763,56.52465680953186,102.95389193086015,0.21126359234903913,126.18977029858046,11.066074719307458,107.01108017049482,143.86158705053472,2.601611371060559,0.894222598530289,845.0,17214.0,143.75536696970804,12956532.0,255.0
68,2.72,1315.851921599055,629.8479945430626,1315.8519633894302,629.8481842338352,1331,491,50805.0,127.16813188675647,57.36598372171042,70.99982813266575,71.6837456864289,56.509046068669434,102.9425349504797,0.21168954652759353,126.17432140828643,11.113587529688068,106.41681822262007,144.03692114996898,2.6388239610330526,0.8878193683563403,848.0,17202.0,143.80199889165362,12955252.0,255.0
69,2.76,1315.7942298790895,629.729021213921,1315.7942303181926,629.7295950277539,1328,490,51164.0,127.61664082989908,57.598829457537015,71.20499477528709,71.89005510436598,56.741487581119316,102.96135221425413,0.21071854098949871,126.63085510332789,11.086343078666198,107.3618349083816,144.14262099578374,2.6105069708947712,0.8836418819902896,853.0,17161.0,144.22445412854077,13046763.0,255.0
70,2.8,1315.772617304467,629.8324948112637,1315.7726508426856,629.8328510538458,1331,490,51146.0,127.59419045848506,57.62617031884739,71.14463918370289,71.83452189462413,56.76386750712857,103.03819604994192,0.20979682177885284,126.61141519748821,11.029716911519564,107.36570213903984,144.02869171244924,2.6042600970803558,0.9022702649339837,844.0,17144.0,144.07251528547806,13042193.0,255.0
